CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share
17001000100,Illinois,Adams,1,4627,2115,0,23,0.0049708,0,0,0,0,0,0,8.3,60829,1,1,1,1,1,0,0,608.3136638,1872.001099,608.3136638,67.94708511,570.1085472,67.94708511,1872.001099,0.40458204,570.1085472,0.123213431,429.8015904,0.092889905,307.7686712,0.066515814,1769.53008,0.382435721,29.11895733,0.006293269,19.8780636,0.004296102,1.00000003,0.000216123,2.000000005,0.000432246,50.47400014,0.01090858,38.46767395,0.00831374,32.40334847,0.015320732,67.37686847,0.031856675,608.3136638,0.131470427,67.94708511,0.014684911,154.1541718,0.033316225,61.68908303,0.013332415,587.2296508,0.126913692,5.999999886,0.001296737,1.436223283,0.000310401,0,0,0.999999975,0.000216123,12.64778419,0.002733474,9.999999544,0.002161227,8.855471662,0.004186984,19.29133141,0.009121197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000201,Illinois,Adams,1,1986,872,0,20,0.0100705,0,1,0,0,0,1,14.5,55114,0,1,0,1,0,0,0,190.8665716,1130.325424,190.8665716,75.02785115,454.3782426,75.02785115,1130.325424,0.569146739,454.3782426,0.228790656,253.7090354,0.127748759,196.2854629,0.098834573,1068.960549,0.538248011,26.66026156,0.013424099,7.954975388,0.004005526,0,0,2.000000004,0.001007049,24.74964057,0.012462055,14.99588485,0.007550798,26.54176593,0.030437805,78.1031106,0.089567787,190.8665716,0.096106028,75.02785115,0.037778374,39.49346441,0.019885934,54.33533922,0.027359184,178.0835187,0.089669445,2.828856587,0.001424399,1.828856647,0.000920874,0,0,0,0,8.125346899,0.004091313,4.572141647,0.002302186,7.221772401,0.008281849,13.76953778,0.015790754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000202,Illinois,Adams,1,2999,1046,0,549,0.183061,0,1,0,0,0,1,16.5,44333,0,1,0,1,0,0,0,0,1206.691625,0,0,571.9014737,0,1206.691625,0.402364663,571.9014737,0.19069739,291.4128396,0.097170003,151.4404846,0.050496994,1104.10021,0.368156122,68.88437615,0.022969115,6.70113575,0.002234457,0,0,6.279034197,0.002093709,20.72687356,0.006911262,9.725075349,0.003242773,60.99148687,0.058309261,116.3689831,0.111251418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000400,Illinois,Adams,1,4322,1534,0,589,0.1362795,0,1,0,1,1,1,29.4,32708,0,1,0,1,0,0,0,162.9986445,3215.18107,162.9986445,51.78984844,1971.251913,51.78984844,3215.18107,0.743910474,1971.251913,0.456097157,871.2668979,0.201588824,341.3022219,0.078968584,2542.72068,0.588320379,491.2361699,0.113659456,8.908088072,0.002061103,0,0,8.041303508,0.001860551,164.2748503,0.038008989,69.40538002,0.016058626,183.245006,0.119455675,456.0946581,0.297323767,162.9986445,0.037713708,51.78984844,0.011982843,33.26410747,0.007696462,33.07802892,0.007653408,149.6831972,0.034632855,3.959633514,0.000916158,0,0,0,0,0,0,9.355810463,0.002164695,2.883188285,0.000667096,3.189269512,0.002079054,26.17652774,0.017064229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000500,Illinois,Adams,1,2337,889,0,273,0.1168164,0,1,0,1,1,1,23.9,40431,0,1,0,1,0,0,0,0,1267.886292,0,0,637.2431258,0,1267.886292,0.542527296,637.2431258,0.272675706,335.7389429,0.143662363,200.8582125,0.085947031,930.2455463,0.398051154,286.8689935,0.12275096,3.724828375,0.00159385,0,0,4.000000045,0.001711596,43.04692156,0.018419735,16.49719334,0.007059133,121.1159127,0.136238372,123.8505832,0.139314492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000600,Illinois,Adams,1,3718,1629,0,58,0.0155998,0,0,0,0,0,0,11.8,72536,0,1,0,1,0,0,0,0,1997.056704,0,0,590.7800704,0,1997.056704,0.537131981,590.7800704,0.158897276,469.7052385,0.12633277,265.2404317,0.071339546,1841.837695,0.495383995,68.59874332,0.018450442,22.00116775,0.005917474,0,0,1,0.000268962,63.61908775,0.017111105,18.16435295,0.004885517,44.94370858,0.027589754,68.53309295,0.042070653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000700,Illinois,Adams,1,1481,849,0,176,0.1188386,0,1,0,1,1,1,42.8,27813,0,1,0,1,0,0,0,0,835.1531015,0,0,594.2191398,0,835.1531015,0.563911615,594.2191398,0.401228319,121.363229,0.081946812,164.8729793,0.111325442,726.6316591,0.490635827,78.53587326,0.053028949,6.999999984,0.004726536,0,0,0,0,22.98556707,0.015520302,12.54348754,0.008469607,131.6176003,0.15502662,150.4067302,0.177157515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000800,Illinois,Adams,1,2711,1067,0,161,0.0593877,0,0,0,0,0,1,35.7,34250,0,0,0,0,0,0,0,0,419.657072,0,0,333.5055163,0,419.657072,0.154797887,333.5055163,0.123019372,154.7244,0.057072814,16.98105555,0.006263761,312.245037,0.11517707,51.66611502,0.019057955,0,0,0,0,6.168259703,0.002275271,49.57766408,0.018287593,6.250492081,0.002305604,70.42302723,0.066000963,84.92948294,0.079596516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001000900,Illinois,Adams,1,2573,1169,0,0,0,0,1,0,0,0,1,32.1,40455,0,1,0,1,0,0,0,10.97421275,847.8170001,10.97421275,5.639526064,429.6153526,5.639526064,847.8170001,0.329505247,429.6153526,0.1669706,171.6861905,0.066726075,150.5560135,0.058513802,793.0431297,0.308217307,27.80870841,0.010807893,6.303316468,0.002449793,0,0,1,0.000388651,19.66183558,0.0076416,11.75671202,0.004569262,28.78502881,0.024623635,87.36814005,0.074737502,10.97421275,0.004265143,5.639526064,0.00219181,2.663393842,0.001035132,2.214220682,0.00086056,10.6124103,0.004124528,0.271631892,0.00010557,0.090170644,3.50E-05,0,0,0,0,0,0,0,0,0.119633097,0.000102338,0.960366284,0.000821528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17001001001,Illinois,Adams,1,3391,1433,0,0,0,0,0,0,0,0,0,15.8,57214,0,1,0,1,0,0,0,0,2601.453487,0,0,758.8294157,0,2601.453487,0.767164107,758.8294157,0.223777474,637.515342,0.188002165,366.8531307,0.10818435,2505.313923,0.738812717,35.42660823,0.010447245,15.98708507,0.004714564,2.99999994,0.000884695,2.499200486,0.00073701,39.22667536,0.011567878,27.96374429,0.00824646,24.58437714,0.017155881,128.6255602,0.089759637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
